navn;type;len;prec
flatenr;Int;4;0
pnr;Int;2;0
id_fp;String;7;0
id_fpy;String;12;0
id_fpd;String;18;0
id_fpdo;String;20;0
feltarbeider;String;30;0
feltdato;Date;0;0
planter;Int;1;0
lovutv;Int;1;0
sno;Int;1;0
klslett;String;5;0
temp;Int;3;0
vind;Int;1;0
skydekke;String;10;0
skyh;String;1;0
sikt;Int;1;0
nedbor;Int;1;0
kontrv;String;11;0
kontrf;String;30;0
fshoyde;Int;1;0
fsdekning;Int;1;0
bshoyde;Int;1;0
bsdekning;Int;1;0
tshoyde;Int;1;0
tsdekning;Int;1;0
merknad;String;250;0
fugle_id;String;38;0
