fid,hovedtyper_fkey,langkode,kode_id,navn,kartleggingsenhet_m005_fkey,kartleggingsenhet_m020_fkey,kartleggingsenhet_m050_fkey
0,227,NIN-3.0-T-C-LI-0-0-TU01-02,TU01-02,TU01-02 Is,,,
1,227,NIN-3.0-T-C-LI-0-0-TU01-01,TU01-01,TU01-01 Snø,,,
2,228,NIN-3.0-T-C-LI-0-0-TS12-01,TS12-01,TS12-01 Syntetiske livsmedier på land,,,
3,229,NIN-3.0-T-C-LI-0-0-TS11-02,TS11-02,TS11-02 Fuglegjødsel,,,
4,229,NIN-3.0-T-C-LI-0-0-TS11-01,TS11-01,TS11-01 Pattedyrmøkk,,,
5,230,NIN-3.0-T-C-LI-0-0-TS10-08,TS10-08,TS10-08 Annet avfall av animalsk opprinnelse,,,
6,230,NIN-3.0-T-C-LI-0-0-TS10-07,TS10-07,TS10-07 Tørket bein- og hornmateriale,,,
7,230,NIN-3.0-T-C-LI-0-0-TS10-06,TS10-06,TS10-06 Avfallshauger med animalske rester,,,
8,230,NIN-3.0-T-C-LI-0-0-TS10-05,TS10-05,TS10-05 Insektsamlinger,,,
9,230,NIN-3.0-T-C-LI-0-0-TS10-04,TS10-04,TS10-04 Utstoppete dyr,,,
10,230,NIN-3.0-T-C-LI-0-0-TS10-03,TS10-03,TS10-03 Tørre rester etter døde dyr,,,
11,230,NIN-3.0-T-C-LI-0-0-TS10-02,TS10-02,TS10-02 Bein og horn,,,
12,230,NIN-3.0-T-C-LI-0-0-TS10-01,TS10-01,TS10-01 Åtsler,,,
13,231,NIN-3.0-T-C-LI-0-0-TS09-06,TS09-06,TS09-06 Matvarer og organisk avfall innendørs,,,
14,231,NIN-3.0-T-C-LI-0-0-TS09-05,TS09-05,TS09-05 Tørket plantemateriale,,,
15,231,NIN-3.0-T-C-LI-0-0-TS09-04,TS09-04,TS09-04 Kompost,,,
16,231,NIN-3.0-T-C-LI-0-0-TS09-03,TS09-03,TS09-03 Dødt plantemateriale i flomsonen,,,
17,231,NIN-3.0-T-C-LI-0-0-TS09-02,TS09-02,TS09-02 Dødt plantemateriale i fjæresonen,,,
18,231,NIN-3.0-T-C-LI-0-0-TS09-01,TS09-01,TS09-01 Strøfall,,,
19,232,NIN-3.0-T-C-LI-0-0-TS08-10,TS08-10,TS08-10 Bikube,,,
20,232,NIN-3.0-T-C-LI-0-0-TS08-09,TS08-09,TS08-09 Vepse- og humlebol,,,
21,232,NIN-3.0-T-C-LI-0-0-TS08-08,TS08-08,TS08-08 Maurtue og -bo,,,
22,232,NIN-3.0-T-C-LI-0-0-TS08-07,TS08-07,TS08-07 Fuglereir,,,
23,232,NIN-3.0-T-C-LI-0-0-TS08-06,TS08-06,TS08-06 Bo av større pattedyr,,,
24,232,NIN-3.0-T-C-LI-0-0-TS08-05,TS08-05,TS08-05 Smågnagerbo og -ganger,,,
25,232,NIN-3.0-T-C-LI-0-0-TS08-04,TS08-04,TS08-04 Indre vev hos levende invertebrater,,,
26,232,NIN-3.0-T-C-LI-0-0-TS08-03,TS08-03,TS08-03 Ytre vev hos levende invertebrater,,,
27,232,NIN-3.0-T-C-LI-0-0-TS08-02,TS08-02,TS08-02 Indre vev hos levende vertebrater,,,
28,232,NIN-3.0-T-C-LI-0-0-TS08-01,TS08-01,TS08-01 Ytre vev hos levende vertebrater,,,
29,233,NIN-3.0-T-C-LI-0-0-TS07-05,TS07-05,TS07-05 Lav og kjuker og andre lenge-varende fruktlegemer,,,
30,233,NIN-3.0-T-C-LI-0-0-TS07-04,TS07-04,TS07-04 Underjordisk mycel,,,
31,233,NIN-3.0-T-C-LI-0-0-TS07-03,TS07-03,"TS07-03 Fruktlegemer med løst vev, inkludert jordboende sopp",,,
32,233,NIN-3.0-T-C-LI-0-0-TS07-02,TS07-02,TS07-02 Pulver- og flekkdannende sopp,,,
33,233,NIN-3.0-T-C-LI-0-0-TS07-01,TS07-01,TS07-01 Muggliknende sopp,,,
34,234,NIN-3.0-T-C-LI-0-0-TS06-14,TS06-14,TS06-14 Annet hogstavfall enn bark og sagflis,,,
35,234,NIN-3.0-T-C-LI-0-0-TS06-13,TS06-13,TS06-13 Sagflishaug,,,
36,234,NIN-3.0-T-C-LI-0-0-TS06-12,TS06-12,TS06-12 Barkhaug,,,
37,234,NIN-3.0-T-C-LI-0-0-TS06-11,TS06-11,TS06-11 Rekved,,,
38,234,NIN-3.0-T-C-LI-0-0-TS06-10,TS06-10,TS06-10 Tømmeropplag,,,
39,234,NIN-3.0-T-C-LI-0-0-TS06-09,TS06-09,TS06-09 Sterkt modifisert ved utendørs,,,
40,234,NIN-3.0-T-C-LI-0-0-TS06-08,TS06-08,TS06-08 Sterkt modifisert ved innendørs,,,
41,234,NIN-3.0-T-C-LI-0-0-TS06-07,TS06-07,TS06-07 Sevjeutflod,,,
42,234,NIN-3.0-T-C-LI-0-0-TS06-06,TS06-06,TS06-06 Vedboende sopp,,,
43,234,NIN-3.0-T-C-LI-0-0-TS06-05,TS06-05,TS06-05 Hulhet i tre,,,
