fid,typer_fkey,langkode,kode_id,navn
0,0,NIN-3.0-T-A-LV-BM-0-BM-A,BM-A,BM-A Bremassiv
1,1,NIN-3.0-T-A-LV-EL-0-EL-G,EL-G,EL-G Kunstige elveløp og elveløp med sterkt endret hydromorfologi
2,1,NIN-3.0-T-A-LV-EL-0-EL-F,EL-F,EL-F Elveløp med klart endret hydromorfologi
3,1,NIN-3.0-T-A-LV-EL-0-EL-E,EL-E,EL-E Kompleks elvemunning
4,1,NIN-3.0-T-A-LV-EL-0-EL-D,EL-D,EL-D Elveløp i og gjennom kohesive sedimenter
5,1,NIN-3.0-T-A-LV-EL-0-EL-C,EL-C,EL-C Elveløp preget av glasiale og fluviale prosesser
6,1,NIN-3.0-T-A-LV-EL-0-EL-B,EL-B,EL-B Elveløp preget av fluviale prosesser
7,1,NIN-3.0-T-A-LV-EL-0-EL-A,EL-A,EL-A Elveløp i fast fjell
8,2,NIN-3.0-T-A-LV-FL-0-FL-P,FL-P,FL-P Vulkanske landformer
9,2,NIN-3.0-T-A-LV-FL-0-FL-O,FL-O,FL-O Vindlandformer
10,2,NIN-3.0-T-A-LV-FL-0-FL-N,FL-N,FL-N Utstrømningslandformer
11,2,NIN-3.0-T-A-LV-FL-0-FL-M,FL-M,FL-M Havstrømlandformer
12,2,NIN-3.0-T-A-LV-FL-0-FL-L,FL-L,FL-L Skredlandformer
13,2,NIN-3.0-T-A-LV-FL-0-FL-K,FL-K,FL-K Skyve-foldebeltelandformer
14,2,NIN-3.0-T-A-LV-FL-0-FL-J,FL-J,FL-J Lagdelingsformer i berggrunn
15,2,NIN-3.0-T-A-LV-FL-0-FL-I,FL-I,FL-I Kystlandformer
16,2,NIN-3.0-T-A-LV-FL-0-FL-H,FL-H,FL-H Glasiale landformer
17,2,NIN-3.0-T-A-LV-FL-0-FL-G,FL-G,FL-G Forvitringslandformer
18,2,NIN-3.0-T-A-LV-FL-0-FL-F,FL-F,FL-F Frostlandformer
19,2,NIN-3.0-T-A-LV-FL-0-FL-E,FL-E,FL-E Forkastnings- og oppsprekkingslandformer
20,2,NIN-3.0-T-A-LV-FL-0-FL-D,FL-D,FL-D Elvelandformer
21,2,NIN-3.0-T-A-LV-FL-0-FL-C,FL-C,FL-C Bresjølandformer
22,2,NIN-3.0-T-A-LV-FL-0-FL-B,FL-B,FL-B Biogene landformer
23,2,NIN-3.0-T-A-LV-FL-0-FL-A,FL-A,FL-A Breelvlandformer
24,3,NIN-3.0-T-A-LV-IB-0-IB-N,IB-N,IB-N Basseng formet av mennesker
25,3,NIN-3.0-T-A-LV-IB-0-IB-M,IB-M,IB-M Basseng formet av dyrs aktiviteter
26,3,NIN-3.0-T-A-LV-IB-0-IB-L,IB-L,IB-L Basseng i torv
