fid,hovedtypegrupper_fkey,langkode,kode_id,navn
0,0,NIN-3.0-T-A-LV-BM-0-M-A09,BM-A09,Steinbre med bre-opphav
1,0,NIN-3.0-T-A-LV-BM-0-M-A08,BM-A08,Isfonn
2,0,NIN-3.0-T-A-LV-BM-0-M-A07,BM-A07,Regenerert bre
3,0,NIN-3.0-T-A-LV-BM-0-M-A06,BM-A06,Dalsidebre
4,0,NIN-3.0-T-A-LV-BM-0-M-A05,BM-A05,Botnbre
5,0,NIN-3.0-T-A-LV-BM-0-M-A04,BM-A04,Dalbre
6,0,NIN-3.0-T-A-LV-BM-0-M-A03,BM-A03,Utløpsbre
7,0,NIN-3.0-T-A-LV-BM-0-M-A02,BM-A02,Sammensatt bre
8,0,NIN-3.0-T-A-LV-BM-0-M-A01,BM-A01,Brekappe
9,1,NIN-3.0-T-A-LV-EL-0-L-G01,EL-G01,Kunstige elveløp og elveløp med sterkt endret hydromorfologi
10,2,NIN-3.0-T-A-LV-EL-0-L-F01,EL-F01,Elveløp med klart endret hydromorfologi
11,3,NIN-3.0-T-A-LV-EL-0-L-E04,EL-E04,Tidevannspreget elvemunning
12,3,NIN-3.0-T-A-LV-EL-0-L-E03,EL-E03,Bølgeprosesspreget kompleks elvemunning i saltvann
13,3,NIN-3.0-T-A-LV-EL-0-L-E02,EL-E02,Bølgeprosesspreget kompleks elvemunning i innsjø
14,3,NIN-3.0-T-A-LV-EL-0-L-E01,EL-E01,Elveprosesspreget kompleks elvemunning i innsjø
15,4,NIN-3.0-T-A-LV-EL-0-L-D03,EL-D03,"Enkelt elveløp gjennom torv, med sedimentbunn"
16,4,NIN-3.0-T-A-LV-EL-0-L-D02,EL-D02,Enkelt elveløp i torv
17,4,NIN-3.0-T-A-LV-EL-0-L-D01,EL-D01,Elveløp gjennom leire
18,5,NIN-3.0-T-A-LV-EL-0-L-C03,EL-C03,Glasifluvialt elveløp med kulp-strykmorfologi
19,5,NIN-3.0-T-A-LV-EL-0-L-C02,EL-C02,"Glasifluvialt elveløp med jevn, grus- og steindominert bunn"
20,5,NIN-3.0-T-A-LV-EL-0-L-C01,EL-C01,Stein- og blokkdominert glasifluvialt elveløp med kaskade- eller trappetrinnsmorfologi
21,6,NIN-3.0-T-A-LV-EL-0-L-B04,EL-B04,"Enkelt fluvialt elveløp med jevn, sand- og/eller finmaterialdominert bunn"
22,6,NIN-3.0-T-A-LV-EL-0-L-B03,EL-B03,Fluvialt elveløp med kulp-strykmorfologi
23,6,NIN-3.0-T-A-LV-EL-0-L-B02,EL-B02,"Fluvialt elveløp med jevn, grus- og steindominert bunn"
24,6,NIN-3.0-T-A-LV-EL-0-L-B01,EL-B01,Stein- og blokkdominert fluvialt elveløp med kaskade- eller trappetrinnsmorfologi
25,7,NIN-3.0-T-A-LV-EL-0-L-A03,EL-A03,Elveløp i karstfjell
26,7,NIN-3.0-T-A-LV-EL-0-L-A02,EL-A02,Elveløp i fast fjell uten foss
27,7,NIN-3.0-T-A-LV-EL-0-L-A01,EL-A01,Elveløp i fast fjell med foss
28,8,NIN-3.0-T-A-LV-FL-0-L-P08,FL-P08,Vulkanspalte
29,8,NIN-3.0-T-A-LV-FL-0-L-P07,FL-P07,Vulkankrater
30,8,NIN-3.0-T-A-LV-FL-0-L-P06,FL-P06,Vulkankjegle
31,8,NIN-3.0-T-A-LV-FL-0-L-P05,FL-P05,Undervannsfjell
32,8,NIN-3.0-T-A-LV-FL-0-L-P04,FL-P04,Lavatunnel
33,8,NIN-3.0-T-A-LV-FL-0-L-P03,FL-P03,Lavastrøm
34,8,NIN-3.0-T-A-LV-FL-0-L-P02,FL-P02,Hydrotermisk skorstein
35,8,NIN-3.0-T-A-LV-FL-0-L-P01,FL-P01,Hydrotermisk haug
36,9,NIN-3.0-T-A-LV-FL-0-L-O02,FL-O02,Flygesanddyne
37,9,NIN-3.0-T-A-LV-FL-0-L-O01,FL-O01,Deflasjonsgrop
38,10,NIN-3.0-T-A-LV-FL-0-L-N05,FL-N05,Slamvulkan
39,10,NIN-3.0-T-A-LV-FL-0-L-N04,FL-N04,Pockmark
40,10,NIN-3.0-T-A-LV-FL-0-L-N03,FL-N03,Gasshydratpingo
41,10,NIN-3.0-T-A-LV-FL-0-L-N02,FL-N02,Gasshydrateksplosjonskrater
42,10,NIN-3.0-T-A-LV-FL-0-L-N01,FL-N01,Diapir
43,11,NIN-3.0-T-A-LV-FL-0-L-M07,FL-M07,Havbunnsstrømningsspor
44,11,NIN-3.0-T-A-LV-FL-0-L-M06,FL-M06,Havbunnsstrømrenne
45,11,NIN-3.0-T-A-LV-FL-0-L-M05,FL-M05,Sedimentbølge
46,11,NIN-3.0-T-A-LV-FL-0-L-M04,FL-M04,Strømgrop
47,11,NIN-3.0-T-A-LV-FL-0-L-M03,FL-M03,Havbunnssedimentbanke
48,11,NIN-3.0-T-A-LV-FL-0-L-M02,FL-M02,Konturitt
49,11,NIN-3.0-T-A-LV-FL-0-L-M01,FL-M01,Havbunnskanal
50,12,NIN-3.0-T-A-LV-FL-0-L-L10,FL-L10,Undersjøiske skredformer
51,12,NIN-3.0-T-A-LV-FL-0-L-L09,FL-L09,Talusvoll
52,12,NIN-3.0-T-A-LV-FL-0-L-L08,FL-L08,Talus
53,12,NIN-3.0-T-A-LV-FL-0-L-L07,FL-L07,Snøskredformer
54,12,NIN-3.0-T-A-LV-FL-0-L-L06,FL-L06,Steinsprangblokk
55,12,NIN-3.0-T-A-LV-FL-0-L-L05,FL-L05,Leirskredgrop
56,12,NIN-3.0-T-A-LV-FL-0-L-L04,FL-L04,Jordskredformer
57,12,NIN-3.0-T-A-LV-FL-0-L-L03,FL-L03,Jordpyramide
58,12,NIN-3.0-T-A-LV-FL-0-L-L02,FL-L02,Fjellskredformer
59,12,NIN-3.0-T-A-LV-FL-0-L-L01,FL-L01,Flomskredformer
60,13,NIN-3.0-T-A-LV-FL-0-L-K03,FL-K03,Kalkrygg
61,13,NIN-3.0-T-A-LV-FL-0-L-K02,FL-K02,Foldeås
62,13,NIN-3.0-T-A-LV-FL-0-L-K01,FL-K01,Dekkerestfjell
63,14,NIN-3.0-T-A-LV-FL-0-L-J04,FL-J04,Platåfjell
64,14,NIN-3.0-T-A-LV-FL-0-L-J03,FL-J03,Hogback
65,14,NIN-3.0-T-A-LV-FL-0-L-J02,FL-J02,Cuesta
66,14,NIN-3.0-T-A-LV-FL-0-L-J01,FL-J01,Benk
67,15,NIN-3.0-T-A-LV-FL-0-L-I12,FL-I12,Tombolo
68,15,NIN-3.0-T-A-LV-FL-0-L-I11,FL-I11,Tidevannsslette
69,15,NIN-3.0-T-A-LV-FL-0-L-I10,FL-I10,Strandvoll
70,15,NIN-3.0-T-A-LV-FL-0-L-I09,FL-I09,Strandlinje
71,15,NIN-3.0-T-A-LV-FL-0-L-I08,FL-I08,Strandflate
72,15,NIN-3.0-T-A-LV-FL-0-L-I07,FL-I07,Revle
73,15,NIN-3.0-T-A-LV-FL-0-L-I06,FL-I06,Rauk
